147,344,145,296,157,258,175,225,199,196,232,174,282,164,289,208,257,217,232,231,213,249,202,273,193,299,198,334,####CHOCOLATE
308,164,346,174,377,191,402,213,420,242,435,273,444,311,391,318,389,288,378,266,364,246,347,229,323,217,299,206,####MEXICANO
237,142,249,138,262,138,274,136,287,136,300,135,313,138,308,162,297,160,287,161,276,160,266,162,256,163,246,165,####DARK
252,412,267,415,283,419,299,419,314,417,330,411,346,409,358,427,341,433,324,436,307,439,290,441,272,440,255,435,####Vanilla
228,452,253,462,278,464,302,464,327,462,351,453,375,441,392,459,363,471,335,483,306,486,278,488,248,482,219,470,####2.7oz(77g) - Contains 2 Discs
197,317,198,288,204,263,219,245,233,227,259,218,286,210,288,231,263,235,247,246,234,259,224,275,220,295,218,317,####MEXICAN-SYTLE STONE
295,212,321,217,344,226,360,242,373,261,384,282,392,307,365,305,363,282,355,266,345,252,330,242,313,234,293,230,####GROUND CHOCOLATE
245,303,260,302,275,301,291,300,306,299,321,298,337,297,344,334,328,335,313,336,298,337,282,338,267,339,252,341,####TAZA
250,341,264,340,278,339,292,338,306,337,320,336,335,335,338,352,323,352,308,353,294,354,279,355,264,356,250,357,####chocolate
226,346,250,366,274,377,297,378,319,374,341,360,362,334,379,347,352,378,324,396,296,402,267,398,237,383,207,359,####ORGANIC & DIRECT TRADE
120,505,177,505,234,505,291,505,348,505,405,505,463,505,462,551,405,550,348,550,291,550,234,550,177,550,121,550,####beckycorhno.me
70,115,80,115,90,116,101,116,111,117,121,117,132,118,132,149,121,148,110,148,100,148,89,147,78,147,68,147,####live
63,174,75,174,88,174,101,174,113,174,126,174,139,175,138,204,125,204,113,204,101,204,88,204,76,204,64,204,####LITTLE
66,202,78,201,91,201,103,201,116,200,128,200,141,200,142,226,129,225,116,225,103,225,90,224,77,224,64,224,####more
